anime_id,title,title_english,type,source,episodes,status,aired,duration,rating,score,scored_by,members,favorites,genre,studio,premiered
3203,Chibi Maruko-chan Movie,Chibi Maruko-chan Movie,Movie,Unknown,1,Finished Airing,"{'from': '1990-12-15', 'to': '1990-12-15'}",1 hr. 33 min.,G - All Ages,7.32,577,1197,2,"Comedy, School, Shoujo",,
9539,Cardfight!! Vanguard,Cardfight!! Vanguard,TV,Original,65,Finished Airing,"{'from': '2011-01-08', 'to': '2012-03-31'}",24 min. per ep.,PG-13 - Teens 13 or older,7.2,13016,30986,241,"Action, Adventure, Demons, Game, Shounen",TMS Entertainment,Winter 2011
13691,Taisei Kensetsu: Shin Doha Kokusai Kuukou,Taisei Kensetsu: Shin Doha Kokusai Kuukou,Special,Unknown,1,Finished Airing,"{'from': '2008-12-10', 'to': '2008-12-10'}",30 sec.,G - All Ages,6.01,1282,2355,0,Drama,,
29984,Crayon Angel,Crayon Angel,Movie,Original,1,Finished Airing,"{'from': None, 'to': None}",2 min.,R+ - Mild Nudity,3.49,329,529,0,Dementia,,
6693,Yatterman the Movie: Shin Yattermecha Osu Gou! Omocha no Kuni de Dai Ketsudan da Koron,Yatterman the Movie: Shin Yattermecha Osu Gou! Omocha no Kuni de Dai Ketsudan da Koron,Movie,Unknown,1,Finished Airing,"{'from': '2009-08-22', 'to': '2009-08-22'}",1 hr. 34 min.,G - All Ages,6.32,132,554,0,"Comedy, Kids",Tatsunoko Production,
13967,Thermae Romae x Asahi Shimbun Digital Collaboration,Thermae Romae x Asahi Shimbun Digital Collaboration,Special,Unknown,1,Finished Airing,"{'from': None, 'to': None}",1 min.,PG-13 - Teens 13 or older,6.16,124,563,0,"Comedy, Historical, Seinen",DLE,
35298,Ramen Daisuki Koizumi-san,Ms. Koizumi Loves Ramen Noodles,TV,Manga,12,Finished Airing,"{'from': '2018-01-04', 'to': '2018-03-22'}",22 min. per ep.,PG-13 - Teens 13 or older,6.5,9524,31793,40,"Slice of Life, Comedy","Studio Gokumi, AXsiZ",Winter 2018
36087,Nerenai!!!,Nerenai!!!,Music,Music,1,Finished Airing,"{'from': '2011-03-20', 'to': '2011-03-20'}",5 min.,PG - Children,4.12,26,48,0,Music,,
2132,Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,Inukami! The Movie: Tokumei Reiteki Sousakan Karina Shirou!,Movie,Light novel,1,Finished Airing,"{'from': '2007-04-21', 'to': '2007-04-21'}",26 min.,PG-13 - Teens 13 or older,7.14,7279,14193,10,"Comedy, Supernatural, Magic, Romance, Ecchi",Seven Arcs,
4163,Seto no Hanayome OVA,Seto no Hanayome OVA,OVA,Manga,2,Finished Airing,"{'from': '2008-11-03', 'to': '2009-01-05'}",30 min. per ep.,PG-13 - Teens 13 or older,7.98,21309,37266,32,"Comedy, Parody, Romance, School",Gonzo,
11266,Ao no Exorcist: Kuro no Iede,Blue Exorcist: Runaway Kuro,Special,Manga,1,Finished Airing,"{'from': '2011-10-26', 'to': '2011-10-26'}",24 min.,PG-13 - Teens 13 or older,7.41,41864,78548,80,"Action, Demons, Fantasy, Shounen, Supernatural",A-1 Pictures,
3278,Kinnikuman: New York Kiki Ippatsu!,Kinnikuman: New York Kiki Ippatsu!,Movie,Unknown,1,Finished Airing,"{'from': '1986-03-15', 'to': '1986-03-15'}",45 min.,PG-13 - Teens 13 or older,6.34,72,371,0,"Action, Comedy, Sports, Shounen",Toei Animation,
6016,Kyoushoku Soukou Guyver (1989),The Guyver: Bio-Booster Armor,OVA,Manga,6,Finished Airing,"{'from': '1989-09-25', 'to': '1990-02-25'}",29 min. per ep.,PG-13 - Teens 13 or older,7.27,3689,7835,101,"Action, Horror, Sci-Fi, Super Power",,
5143,Tokusou Kihei Dorvack,Special Powered Armor Troop Dorvack,TV,Unknown,36,Finished Airing,"{'from': '1983-10-07', 'to': '1984-07-06'}",24 min. per ep.,PG-13 - Teens 13 or older,6.8,80,532,2,"Action, Mecha, Sci-Fi",,Fall 1983
33531,Juushinki Pandora,Juushinki Pandora,TV,Original,0,Currently Airing,"{'from': '2018-03-29', 'to': None}",23 min.,PG-13 - Teens 13 or older,5.9,1208,14192,7,"Sci-Fi, Mecha",Satelight,Spring 2018
12531,Sakamichi no Apollon,Kids on the Slope,TV,Manga,12,Finished Airing,"{'from': '2012-04-13', 'to': '2012-06-29'}",22 min. per ep.,PG-13 - Teens 13 or older,8.44,93986,192993,4600,"Drama, Josei, Music, Romance, School","Tezuka Productions, MAPPA",Spring 2012
1810,Kyoushirou to Towa no Sora,Shattered Angels,TV,Manga,12,Finished Airing,"{'from': '2007-01-05', 'to': '2007-03-23'}",24 min. per ep.,PG-13 - Teens 13 or older,6.61,11084,32479,100,"Drama, Magic, Romance, Shounen",TNK,Winter 2007
3560,Karen,Karen,OVA,Manga,1,Finished Airing,"{'from': '2002-08-18', 'to': '2002-08-18'}",30 min.,Rx - Hentai,5.94,1005,2124,10,Hentai,,
26269,Tegami,Tegami,OVA,Unknown,1,Finished Airing,"{'from': None, 'to': None}",18 min.,G - All Ages,7.25,8,117,0,"Drama, Historical, Kids",,
13673,Otome Nadeshiko Koi Techou,Otome Nadeshiko Koi Techou,OVA,Unknown,1,Finished Airing,"{'from': '2012-01-26', 'to': '2012-01-26'}",10 min.,G - All Ages,5.98,1943,3752,2,"Historical, Shoujo",,
1947,Kikou Sennyo Rouran,Strange Steel Fairy Rouran,TV,Original,28,Finished Airing,"{'from': '2002-11-15', 'to': '2003-05-30'}",12 min. per ep.,PG-13 - Teens 13 or older,5.97,228,1261,1,"Action, Fantasy, Mecha",Zexcs,Fall 2002
10882,Ghost Messenger,Ghost Messenger,OVA,Unknown,6,Finished Airing,"{'from': '2010-12-21', 'to': '2014-08-19'}",35 min. per ep.,PG-13 - Teens 13 or older,7.3,44,1295,1,"Action, Fantasy",Studio Animal,
2088,Nora,Nora,OVA,Manga,1,Finished Airing,"{'from': '1985-01-21', 'to': '1985-01-21'}",56 min.,PG-13 - Teens 13 or older,5.23,236,726,2,"Sci-Fi, Adventure, Space",,
32859,Boku wa Kimi wo Warawanai,Boku wa Kimi wo Warawanai,Music,Music,1,Finished Airing,"{'from': '2013-11-02', 'to': '2013-11-02'}",3 min.,G - All Ages,5.52,72,136,0,Music,,
13263,Fate/Zero: Onegai! Einzbern Soudanshitsu,Fate/Zero: Please! Einzbern Counseling Room,Special,Unknown,6,Finished Airing,"{'from': '2012-03-07', 'to': '2012-09-19'}",15 min. per ep.,PG-13 - Teens 13 or older,6.73,10458,23860,18,Comedy,ufotable,
20159,Pokemon: The Origin,Pokémon: Origins,Special,Game,4,Finished Airing,"{'from': '2013-10-02', 'to': '2013-10-02'}",21 min. per ep.,PG - Children,7.89,81373,118192,451,"Action, Adventure, Comedy, Fantasy, Kids","Production I.G, Xebec, OLM",
29770,Kikyuu,Kikyuu,Music,Unknown,1,Finished Airing,"{'from': '2013-09-25', 'to': '2013-09-25'}",5 min.,G - All Ages,5.8,208,372,0,Music,,
2061,Gall Force 2: Destruction,Gall Force 2: Destruction,OVA,Original,1,Finished Airing,"{'from': '1987-11-21', 'to': '1987-11-21'}",50 min.,R+ - Mild Nudity,6.55,855,1746,2,"Action, Military, Sci-Fi, Space","AIC, Artmic, Animate Film",
33763,Yong Zhe Da Mao Xian 2nd Season,Yong Zhe Da Mao Xian 2nd Season,ONA,Original,26,Finished Airing,"{'from': '2016-03-25', 'to': '2016-10-14'}",15 min. per ep.,PG-13 - Teens 13 or older,6.45,11,151,1,"Adventure, Fantasy",CG Year,
10239,Mayutoro The Toons,Mayutoro The Toons,TV,Unknown,33,Finished Airing,"{'from': '2003-10-01', 'to': '2004-03-01'}",2 min. per ep.,G - All Ages,5.33,21,106,0,"Comedy, Fantasy, Kids",,Fall 2003
